7,Bopp blanco con respaldo pet genérico,BB14,,,"78146M (AVERY), SY1073K (RAFLATAC)",,,,,,,EXACT,,Verificar por clave,,,," $ 0,635 ", USD ,,,BOPP BCO,,,,,,100%,,,GENERICO,,,,
8,Bopp blanco con respaldo pet genérico,BB33,,,"78146M (AVERY), SY1073K (RAFLATAC)",,,,,,,EXACT,,Verificar por clave,,,," $ 0,635 ", USD ,,,BOPP BCO,,,,,,,,,,,,,
9,Bopp blanco adhesivo acrilico,BB15,2102F,FEDRIGONI,60 PP CAVITED GLOSS WHITE TC / AP901 / WG62,"2,36",Acrílico,"2,17","5,33",TOP COATED,1.5 x 1500,"EXACT 
MASTER",EXACT 3000 ML,Directo,,APROBADO,48 Hrs.," $ 0,530 ", USD ," $ 0,5100 ",USD,BOPP BCO,,,,,,4%,,,PP1,,,,
10,Bopp blanco con respaldo pet (Sustituye a 78330),BB16,78146M,AVERY,2.4 Mil White BOPP TC/S692N/1.2 Mil PET,"2,4",Acrílico,"1,2","4,2",TOP COATED,1.524 x 762,MASTER,EXACT 3000 ML,Indirecto o incidental,APR para polietileno ,,24 Hrs.," $ 0,635 ", USD ," $ 0,5800 ",USD,BOPP BCO,,,,,,9%,,,PP4,,,,
11,Bopp blanco adhesivo para exceso de humedad,BB19,103,AVERY,2.4 MIL WHITE BOPP  / S246 / 40# BG,"2,4",Hule,2,5,TOP COATED,"1.524 x 10,000",MASTER,,Indirecto o incidental,,,4 Semanas," $ 1,028 ", USD ," $ 0,9700 ",USD,BOPP BCO,,,,,,6%,,,PP2,,,,
12,Bopp blanco adh acrílico,BB23,TL2601,MACtac,Durascan® L Thermal Transfer Film / 640AT / 40# SCK,3,Acrílico,"2,4","6,1",PRINT TREATED,1.524 x 1524,MASTER,,Indirecto o incidental,,,4 Semanas," $ 1,219 ", USD ," $ 1,1500 ",USD,BOPP BCO,,,,,,6%,,,PP1,,,,
13,Bopp blanco respaldo papel,BB25,SY51M,RAFLATAC,2.6Mil PP Pearlescent White TC / RP37 / 2.2Mil High Density,"2,6",Acrílico,"2,09","5,1",TOP COATED,2 x 762,"EXACT 
MASTER",EXACT 1524 Y 3048 ML,Indirecto o incidental,FSC EN EL RESPALDO,,48 Hrs.," $ 0,893 ", USD ," $ 0,8590 ",USD,BOPP BCO,,,,,,4%,,,PP1,,,,
14,Bopp Blanco adh Hule,BB26,120,AVERY,2.4 MIL WHITE BOPP TC / S2005 / 40# BG,"2,4",Hule,2,5,TOP COATED,1.524 x 762,"EXACT 
MASTER",EXACT 1500 ML,Indirecto o incidental,,,24 Hrs.," $ 0,729 ", USD ," $ 0,7009 ",USD,BOPP BCO,,,,,,4%,,,PP2,,,,
15,Bopp blanco con respaldo pet para esterilización,BB29,79704,AVERY,2.3 Mil White BOPP TT/S717P/1.2 Mil Polyester,"2,3",Acrílico,"1,18","4,3",TOP COATED,1.524 x 1764,MASTER,,Indirecto o incidental,,,11 Semanas," $ 2,375 ", USD ," $ 2,2409 ",USD,BOPP BCO,,,,,,6%,,,PP4,,,,
16,Bopp blanco TL2,BB30,14857,AVERY,2.6 Mil White Bopp / TL2 / 40#SCK,"2,6",Hule,"2,5","7,1",CORONA,0.762 x 762,MASTER,Largo Maximo 762 m,Indirecto o incidental,,,72 Hrs.," $ 1,979 ", USD ," $ 1,8668 ",USD,BOPP BCO,,,,,,6%,,,PP2,,,,
17,Bopp Blanco adh Hule,BB31,PJ9001,MACtac,2.6 WHITE POLYPROPYLENE / 710VHP / 2.4 SCK,"2,6",Hule,"2,4","5,7",TOP COATED,1.98 x 1524,"EXACT 
MASTER",EXACT 1524 ML,Indirecto o incidental,,,48 Hrs.," $ 0,728 ", USD ," $ 0,7000 ",USD,BOPP BCO,,,,,,4%,,,PP2,,,,
18,Bopp Blanco IFCO (Imprimible por TT),BB32,992601,TECHNICOTE,2.6 MIL MATTE WHITE TT BOPP /AT333@1.5 CTW/40# SCK L-2    ,"2,6",Acrílico,"2,5","5,9",TOP COATED,1.32 x 1524,MASTER,,Directo,,,7 Semanas," $ 1,707 ", USD ," $ 1,6100 ",USD,BOPP BCO,,,,,,6%,," MASTER 1.32 X762M = MSI 0.747 = 1.1579+ 0.1988 FLETE USA (200)  = 1.3567 USD/M2 + GASTOS DE IMPORTACION (25% INCLUYE FLETE USA/MX Y AA) =1.6959 Actualizado 21-01-2023
MASTER 1.32 X1524M = MSI 0.747 =1.1579+ 0.0994 FLETE USA (200)= 1.2573 USD/M2 + GASTOS DE IMPORTACION (25% INCLUYE FLETE USA/MX Y AA) =1.5716 Actualizado 21-01-2023 ",PP1,,,,
19,Bopp blanco respaldo papel,BB34,SY1071H,RAFLATAC,2.4 MIL PP WHITE TC / RP37 / 2.2 MIL HIGH DENSITY ,"2,4",Acrílico,"2,09","5,1",TOP COATED,2 x 762,"EXACT 
MASTER",EXACT 1524 ML,Indirecto o incidental,FSC EN EL RESPALDO,RECOMENDADO POR PROVEEDOR,48 Hrs.," $ 0,532 ", USD ," $ 0,5120 ",USD,BOPP BCO,,,,,,4%,,,PP1,,,,
20,Bopp blanco brillante para impresión Ink jet,BB35,SY836N,RAFLATAC,POLYJET GLOSS WHITE PP / RP37 / 40# WHITE KRAFT,"3,5",Acrílico,"2,4","6,1",TOP COATED,1.524 x 762,"EXACT USA 
MASTER","EXACT USA 762 ML 
MIN 233 M2",Indirecto o incidental,,,11 Semanas," $ 2,850 ", USD ," $ 2,6890 ",USD,BOPP BCO,,,,,,6%,,,PP1,,,,
21,Bopp blanco adh acrílico,BB37,PJ6914,MACtac,2.6 MIL WHITE BOPP / MP690 / 3.2 MIL SCK,"2,6",Acrílico,"3,2","6,8",TOP COATED,1.524 x 1524,MASTER,Largo Maximo 2000 m,Indirecto o incidental,,,4 Semanas," $ 1,484 ", USD ," $ 1,4000 ",USD,BOPP BCO,,,,,,6%,,,PP1,,,,
22,Bopp blanco TL2,BB38,77252,AVERY,2.6 Mil White BOPP TC / TL2 / 40#SCK,"2,6",Hule,"2,5","7,1",TOP COATED,0.762 X 762 M,MASTER,Largo Maximo 762 m,Indirecto o incidental,,,11 Semanas," $ 1,989 ", USD ," $ 1,8760 ",USD,BOPP BCO,,,,,,,,,PP2,,,,
23,Bopp blanco adh acrílico,BB39,WPI7350,GREEN BAY,PAPEL SINTETICO DE 75 μ / ADHESIVO ACRILICO PERMANENTE / LINER GLASSINE,3,Acrilico,"2,1","5,9",TOP COATED,1.53 x 1524,MASTER,Largo Maximo 1524 m,Indirecto o incidental,,,6 Semanas," $ 1,181 ", USD ," $ 1,1140 ",USD,BOPP BCO,,,,,,,,,,,,,
24,Bopp blanco con adh para llantas,BB40,79462,AVERY,2.1 MIL PP TIRE TC WHITE / TS8000A / 50#MF (solid gum),"2,1",Hule,"3,4","7,5",TOP COATED,0.762 X 762 M,MASTER,Largo Maximo 762 m,No Especificado,,,11 Semanas," $ 2,058 ", USD ," $ 1,9414 ",USD,BOPP BCO,,,,,,,,,,,,,
25,Bopp blanco adh acrílico,BB41,C17261,FEDRIGONI,BOPP BLANCO MATE TC 3.2 MIL / A110a24 / SCK 67G,3,Acrilico,"2,5","6,4",TOP COATED,1.515 X 1500 M,MASTER,,Indirecto o incidental,,,3 Semanas," $ 1,029 ", USD ," $ 0,9710 ",USD,BOPP BCO,,,,,,,,,,,,,
26,Bopp blanco adh reposicionable,BB42,6444F,FEDRIGONI,60 PP GLOSS WHITE TC / AR827 / WG62,"2,4",Acrílico,"2,2","5,5",TOP COATED,1.5 x 1000 m,MASTER,,No Especificado,,,72 Hrs," $ 1,646 ", USD ," $ 1,5530 ",USD,BOPP BCO,,,,,,,,,,,,,
27,Bopp blanco adh acrílico,BB43,G100WP74740SC,GREEN BAY,3.7 ML THERMAL TRAN BOPP / 747 PERMANENT ADHESIVE /40 SC LINER,"3,7",Acrilico,"2,4","6,8",TOP COATED,1.524 x 1524 M,MASTER,,No Especificado,,,," $ 1,497 ", USD ," $ 1,4120 ",USD,BOPP BCO,,,,,,,,,,,,,
28,Bopp blanco con respaldo pet,BB44,SY1073K,RAFLATAC,2.4 MIL PP WHITE TC / RP37 / 1.2 MIL PET,"2,4",Acrilico,"1,2","4,2",TOP COATED,2 X 762,"EXACT 
MASTER",EXACT 3048 ML,Indirecto o incidental,,,48 Hrs," $ 0,635 ", USD ," $ 0,5650 ",USD,BOPP BCO,,,,,,11%,,,RP4,,,,
29,Bopp blanco adh resellable,BB45,FLX064717,FLEXCON,Optiflex Reseal 21133 2.3 Mil White Bopp TC / Resealable adhesive / Tracrite 120,"2,3",Acrílico,"1,2","4,2",TOP COATED,1.524 x 1524,"EXACT 
MASTER","EXACT 3048 ML
CORE 6""",Indirecto o incidental,,,5 Semanas," $ 1,257 ", USD ," $ 1,1858 ",USD,BOPP BCO RESELLABLE,,,,,,,,,,,,,
30,Bopp blanco adhesivo acrilico,BB46,SY2040S,RAFLATAC,PP Gloss White TC 60 / RP37 / White Glass C5-FSC,"2,4",Acrílico,2,"4,88",TOP COATED,1.53 x 1500,"EXACT 
MASTER",EXACT 1524 Y 3048 ML,Indirecto o incidental,,,24 Hrs.," $ 0,676 ", USD ," $ 0,6500 ",USD,BOPP BCO,,,,,,,,,,,,,
31,Bopp blanco adhesivo lavable,BB47,SY1407H,RAFLATAC,2.4 MIL PP WHITE TC RW85C 1.2 mil PET PCR,"2,24",Acrílico,"1,18","3,94",TOP COATED,1 x 1500,MASTER,,Indirecto o incidental,ADHESIVO LAVABLE,,24 Hrs.," $ 0,731 ", USD ," $ 0,6900 ",USD,BOPP BCO,,,,,,,,,,,,,
32,Bopp blanco adh acrílico,BB48,PJL2652MX,MACtac,2.4 MIL WHITE POLYPROPYLENE / 640AT / GLASSINE,"2,4",Acrílico,"2,1","5,2",TOP COATED,1.98 x 1500,"EXACT
MASTER",EXACT 1524 Y 3048 ML,No Especificado,,,48 Hrs.," $ 0,541 ", USD ," $ 0,5200 ",USD,BOPP BCO,,,,,,,,,,,,,
33,Bopp metalizado respaldo papel,BM02,,,"SY931M (RAFLATAC), SY88F (RAFLATAC)",,,,,,,EXACT,,Verificar por clave,,,," $ 0,832 ", USD ,,,BOPP METAL,,,,,,100%,,,GENERICO,,,,
34,Bopp Metalizado Rafla,BM06,SY88F,RAFLATAC,2.0 Mil PP Chrome TC / RP37 / 2.2M High Density,2,Acrílico,"2,09","4,7",TOP COATED,1 x 762,"EXACT 
MASTER",EXACT 1524 Y 3048 ML,Indirecto o incidental,FSC EN EL RESPALDO,APROBADO,24 Hrs.," $ 1,052 ", USD ," $ 1,0120 ",USD,BOPP METAL,,,,,,4%,,,PP1,RECOMENDADO,,,
35,Bopp Metalizado Rafla,BM07,SY931M,RAFLATAC,2.0 MIL PP SILVER METALIZED TC / RP37 /2.2 MIL HIGH DENSITY,2,Acrílico,"2,09","4,6",TOP COATED,2 x 762,"EXACT 
MASTER",EXACT 1524 ML,Indirecto o incidental,FSC EN EL RESPALDO,,48 Hrs.," $ 0,832 ", USD ," $ 0,8000 ",USD,BOPP METAL,,,,,,4%,,,PP1,,,,
36,Bopp Metalizado Avery (Antes F04426X),BM08,F04426XM,AVERY,2M METTALLIZED BOPP TC / S692N / 40#BG,2,Acrílico,2,"4,6",TOP COATED,1.524 x 1524,"EXACT 
MASTER",EXACT 1500 y 3000 ML,Indirecto o incidental,,,72 Hrs.," $ 0,832 ", USD ," $ 0,8000 ",USD,BOPP METAL,,,,,,4%,,,PP1,NO,,,
37,Bopp Metalizado liner 62g (Arclad),BM09,PPMB50P1G62S,ARCLAD,BOPP METALIZADO PLATA / P1 / G62S,"1,97",Acrílico,"2,12","4,72",TOP COATED,1.5 x 1524,MASTER,,Indirecto o incidental,,APROBADO,48 Hrs.," $ 1,018 ", USD ," $ 0,9600 ",USD,BOPP METAL,,,,,,,,,PP1,,,,
38,Bopp Metalizado liner 60g (Arclad),BM10,PPMB50P1G60S,ARCLAD,BOPP METALIZADO PLATA / P1 / G60S,"1,97",Acrílico,"2,05","4,65",TOP COATED,1.5 x 1524,MASTER,,Indirecto o incidental,,,48 Hrs.," $ 1,018 ", USD ," $ 0,9600 ",USD,BOPP METAL,,,,,,,,,PP1,,,,
39,Bopp Metalizado liner 60g (Arclad),BM11,PPMB50P4G60S,ARCLAD,BOPP METALIZADO PLATA / P4 / G60S,"1,97",Acrílico,"2,05","4,65",TOP COATED,1.5 x 1524,MASTER,,Indirecto o incidental,,APROBADO,48 Hrs.," $ 1,018 ", USD ," $ 0,9600 ",USD,BOPP METAL,,,,,,,,,PP,,,,
40,Bopp Transparente Genérico,BT01,,,"3838F (FEDRIGONI), 77008 (AVERY), SY2039R (RAFLATAC)",,,,,,,EXACT,,Verificar por clave,,,," $ 0,530 ", USD ,,,BOPP TRANS,,,,,,100%,, PRECIO PARA COTIZAR DICTADO POR ING. ESC - REV 105 31ENE2023 ,GENERICO,,,,
41,Bopp transparente Raflatac,BT03,SY105C,RAFLATAC,2.0 Mil PP Clear TC / RP37 / 2.2 Mil High Density,"1,85",Acrílico,"2,09","4,4",TOP COATED,2 x 1000,"EXACT 
MASTER",,Indirecto o incidental,FSC EN EL RESPALDO,RECOMENDADO POR PROVEEDOR,24 Hrs.," $ 0,729 ", USD ," $ 0,701 ",USD,BOPP TRANS,,,,,,4%,,,PP1,RECOMENDADO,,,
42,Bopp transparente (Laminación local),BT04,77008,AVERY,2 Mil Clear Bopp TC / S692N / 40#BG,2,Acrílico,2,"4,6",TOP COATED,1.524 x 1524,"EXACT 
MASTER",EXACT 1500 Y 3000 ML,Indirecto o incidental,APR para polietileno ,APROBADO,24 Hrs.," $ 0,530 ", USD ," $ 0,5100 ",USD,BOPP TRANS,,,,,,4%,,,PP1,RECOMENDADO,,,
43,Bopp transparente,BT07,3838F,FEDRIGONI,50 PP GLOSS CLEAR TC / AP901 / WG62,2,Acrílico,"2,2",5,TOP COATED,1.5 x 1500,"EXACT 
MASTER",EXACT 1524 Y 3048 ML,Directo,,,48 Hrs.," $ 0,530 ", USD ," $ 0,5100 ",USD,BOPP TRANS,,,,,,4%,,,PP1,,,,
44,Bopp transparente adh fotoluminiscente,BT09,,,FLX000211 (FLEXCON),,,,,,,MASTER,,Verificar por clave,,,," $ 2,286 ", USD ,,,BOPP FOTOLUMINSCENTE ,,,,,,100%,,,GENERICO,,,,
45,Bopp transparente adhesivo resellable,BT11,7192F,FEDRIGONI,60 PP GLOSS CLEAR TC / AR827C / PET30,"2,4",Acrílico,"1,2","4,4",TOP COATED,1.5 x 1500,MASTER,,Directo,,,Bajo stock," $ 1,303 ", USD ," $ 1,2290 ",USD,BOPP TRANS,,,,,,6%,,,PP4,,,,
46,Bopp transparente 1.6Mil + Respaldo pet 0.92Mil,BT12,,,"FLX056455 (FLEXCON), AR110 ( AVERY)",,,,,,,EXACT,,Verificar por clave,,,," $ 0,648 ",USD,,,BOPP TRANS,,,,,,100%,, PRECIO PARA COTIZAR =+4% ,GENERICO,,,,
47,Bopp transparente 2.0Mil + Respaldo pet 1.2Mil,BT13,,,"77138 (AVERY), SY14X (RAFLATAC)",,,,,,,EXACT,,Verificar por clave,,,," $ 0,572 ", USD ,,,BOPP TRANS,,,,,,100%,,,PP4,,,,
48,Bopp transparente 1.6Mil + Respaldo pet 0.92Mil,BT14,FLX056455,FLEXCON,THINflex CPP16419 PP 160 H CLEAR TC-458 V-01 TRACrite 92,"1,6",Acrílico,"0,92","3,02",TOP COATED,1.524 x 1524,MASTER,PRECIO PARA 3MASTER X 3000 ML,Indirecto o incidental,REDUCCIÓN DE CALIBRES,,3 Semanas," $ 0,648 ", USD ," $ 0,6109 ",USD,BOPP TRANS,,,,,,6%,,,PP4,,,,
49,"Bopp transparente, adhesivo hule",BT16,,,110 (AVERY),,,,,,,Verificar por clave,,Verificar por clave,,,," $ 0,687 ", USD ,,,BOPP TRANS,,,,,,100%,,, GENERICO ,,,,
50,Bopp Transparente 35 Micras Sin Adhesivo (Rendieminto 0.03172),BT18,CAL35NATU,OVERLAMINATED,Polipropileno brillante sin adhesivo para laminar 35micras  (31.72 g/m2),"1,378",N/A,N/A,"1,378",CORONA,Ancho requerido,EXACT,EXACT 6000 ML,Indirecto o incidental,,,72 Hrs.," $ 0,220 ", USD ," $ 3,594 ",M.N.,BOPP S/ADH,"31,72",g/m2,"113,3",mxp,"3,593876",-1530%,, PRECIO $87.33 MXP/kg +0.03 usd /m2 de primer MAR-2021 REV 86 , PP0 ,,,,
51,Bopp transparente 1.6Mil + Respaldo pet 0.92Mil (EUROPEO),BT20,AR110,AVERY,PP40 TOP CLEAR / S7400 / PET23,"1,58",Acrílico,"0,9","2,874",TOP COATED,2 X 1000,MASTER,,Indirecto o incidental,REDUCCIÓN DE CALIBRES,,22 Semanas," $ 0,737 ", USD ," $ 0,6956 ",USD,BOPP TRANS,,,,,,6%,,,PP4,,,,
52,Bopp transparente 2.0Mil + Respaldo pet 1.2Mil,BT22,FLX056456,FLEXCON,OPTIFLEX CPP20413 PP 200 H CLEAR TC-458 / V-01 / TRACrite 120,2,Acrílico,"1,2","3,7",TOP COATED,1.524 x 1524,"EXACT
MASTER","EXACT 1524, 3048 ML",Indirecto o incidental,,,4 Semanas," $ 0,714 ", USD ," $ 0,686 ",USD,BOPP TRANS,,,,,,4%,,, PP4 ,,,,
53,Bopp transparente adh fotoluminiscente,BT23,FLX000211,FLEXCON,PHARMACAL SUPREME PP 200 H CLEAR TC-332 / V232C /TRACRITE 150,2,Solvente Acrílico,"1,4",4,TOP COATED,1.524 x 1524,MASTER,,Indirecto o incidental,,,3 Semanas," $ 2,286 ", USD ," $ 2,1562 ",USD,BOPP FOTOLUMINSCENTE ,,,,,,6%,,,PP4,,,,
54,"Bopp transparente, adhesivo hule, respaldo papel",BT26,110,AVERY,2 MIL CLEAR BOPP TC / S2005 / 40# BG,2,Hule,2,"4,6",TOP COATED,1.524 x 750,"EXACT 
MASTER",EXACT 1500 ML,Indirecto o incidental,,,72 Hrs.," $ 0,687 ", USD ," $ 0,6605 ",USD,BOPP TRANS,,,,,,4%,USD,, PP2 ,,,,
55,Bopp transparente 2.0Mil + Respaldo pet 1.2Mil,BT28,77138,AVERY,2 MIL CLEAR BOPP TC / S692N / 1.2M PET,2,Acrilico,"1,2","3,8",TOP COATED,1.524 x 1524,"EXACT 
MASTER",EXACT 1500 Y 3000 ML,Indirecto o incidental,,APROBADO,24 Hrs. ," $ 0,572 ", USD ," $ 0,5500 ",USD,BOPP TRANS,,,,,,4%,,, PP1 ,,,,
56,Bopp transparente 2.0Mil + Respaldo pet 1.2Mil,BT29,SY14X,RAFLATAC,2.0Mil PP Clear TC / RP37 / 1.2Mil Pet,2,Acrílico,"1,2","3,6",TOP COATED,1 x 762,"EXACT 
MASTER",EXACT 1524 y 3048 ML,Indirecto o incidental,,APROBADO,48 Hrs.," $ 0,572 ", USD ," $ 0,5500 ",USD,BOPP TRANS,,,,,,4%,,,PP4,,,,
57,Bopp transparente,BT30,SY2039R,RAFLATAC,PP TRANSP. TC 50 / RP37 / WHITE GLASSINE C5-FSC,2,Acrílico,2,"4,53",TOP COATED,1.53 x 1524,"EXACT 
MASTER",EXACT 1524 y 3048 ML,,,,24 Hrs.," $ 0,530 ", USD ," $ 0,5100 ",USD,BOPP TRANS,,,,,,,,,,,,,
58,Bopp transparente adh resellable,BT31,FLX064722,FLEXCON,Optiflex Reseal 20133 2.0 Mil Clear Bopp TC / Resealable adhesive / Tracrite 120,2,Acrilico,"1,2","3,9",TOP COATED,1.524 x 1524,"EXACT 
MASTER","EXACT 3048 ML
CORE 6""",Indirecto o incidental,,,5 Semanas," $ 1,294 ", USD ," $ 1,2204 ",USD,BOPP TRANS RESELLABLE,,,,,,,,,,,,,
59,Bopp transparente respaldo pet,BT32,6126F,FEDRIGONI,50 PP CLEAR ON CLEAR 50m TC / AP901 / PET30,"1,96",Acrilico,"1,18","3,84",TOP COATED,1.5 x 1500,"EXACT
MASTER",EXACT 1524 Y 3048 ML,No Especificado,,,48 hrs," $ 0,598 ", USD ," $ 0,5750 ",USD,BOPP TRANS,,,,,,,,,,,,,
60,Bopp transparente,BT33,PF2632MX,MACtac,2 MIL Clear Polypropylene / 640AT / GLASSINE,2,Acrilico,"2,1","4,8",TOP COATED,1.98 x 1500,"EXACT
MASTER",EXACT 1524 Y 3048 ML,No Especificado,,,48 hrs," $ 0,541 ", USD ," $ 0,5200 ",USD,BOPP TRANS,,,,,,,,,,,,,
61,Cartulina Sulfatada 1C 195 g,CA01,,,"MPSUCASU010C5 (GREEN BAY), SBSPRT10PT (COSAL)",,,,,,,MASTER,,Verificar por clave,,,," $ 0,529 ",USD,,,CARTULINA 10PT,195,g/m2,"1,53",usd,"0,29835",100%,,,GENERICO,,,,
62,Cuché sin adhesivo 90 g,CA02,,,"MPSULUB0902C (GREEN BAY), 221E (ABASTECEDORA), 221F (ABASTECEDORA), 221D (ABASTECEDORA), SUNBRIGHT90G(COSAL)",,,,,,,MASTER,,Verificar por clave,,,," $ 0,189 ",USD,,,LUSTROLITO,90,g/m2,"1,41",usd,"0,1269",100%,,,GENERICO,,,,
63,Cartulina transferencia térmica,CA05,53745,AVERY,8Pt C2S Thermal Transfer W/OB FSC,8,N/A,N/A,8,N/A,1.371 x 2178,"EXACT USA 
MASTER",EXACT USA 2286 ML,No Especificado,,,9 Semanas," $ 0,681 ", USD ," $ 0,6427 ",USD,INTEGRITY,,,,,,6%,,,NO ESPECIFICADO,,,,
64,Cartulina 1C 16Pt 293g/m2 (Rendiemineto 0.293),CA09,SBS16PT,IND. COSAL,Cartulina Sulfatada 1C SBS 16 Pts (293gr/m2),16,N/A,N/A,16,N/A,Checar existencias,MASTER,,No aplica,,,1 Semana," $ 0,515 ", USD ," $ 0,460 ",USD,CARTULINA 16PT,305,g/m2,"1,51",usd,"0,46055",11%,, $1.51 usd/kg 10-07-2018 , NO APLICA ,,,,
65,Cartulina 1C 14Pt 264g/m2 (Rendimiento 0.264),CA13,SBS14PT,IND. COSAL,Cartulina Sulfatada 1C SBS 14 Pts (264gr/m2),14,N/A,N/A,14,N/A,Checar existencias,MASTER,,No aplica,,,1 Semana," $ 0,482 ", USD ," $ 0,430 ",USD,CARTULINA 14PT,285,g/m2,"1,51",usd,"0,43035",11%,, $1.51 usd/kg 10-07-2018 , NO APLICA ,,,,
