Lista de Suajes,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,21-06-24 Rev: 81,,
,N°,Dientes,Suaje Nº,Ubicación,Ancho,x,Largo,Cinta,G/L,G/S,P,D,Figura,ML/millar,Area/millar,Material,Comentarios,Proveedor,Fecha/alta
,265,47,830-271,D-67,"12,0",*,"47,0",101,3,"3,0",6,3,Rectángulo,"8,333","0,84",,Latex,,
,,68,M-910-060,,"12,0",*,"69,0",251,3,"3,0",16,3,Figura,"4,500","1,13",PH07,Salsas Castillo,Rotometrics,5/3/2013
,,96,M-910-393,,"12,0",*,"150,0",251,"3,0","3,0",16,2,Rectángulo,"9,563","2,40",BT07,Barcel,Rotometrics,21/4/2022
,,51,830-780,,"13,0",*,"51,0",171,3,"3,2",10,3,Rectángulo,"5,418","0,93",,Gemalto México,AW,24/8/2009
,450,48,830-460,F-19,"14,0",*,"14,0",147,3,"3,0",8,9,Circunferencia,"2,125","0,31",,,,22/6/2001
,,72,M-830-013,,"14,0",*,"25,0",113,3,"3,6",6,8,Rectángulo,"4,763","0,54",CS02,EEO,Rotometrics,23/5/2014
,,72,M-830-031,,"14,0",*,"25,0",96,3,"3,6",5,8,Rectángulo,"5,715","0,55",BT01,María Juana Hernández Mateo,Rotometrics,3/9/2015
,,72,M-830-066,,"14,0",*,"25,0",164,3,"3,6",9,8,Rectángulo,"3,175","0,52",TT01,Cab Logistics,Rotometrics,5/6/2017
,,76,M-910-061,,"14,0",*,"77,4",249,3,"3,0",14,3,Figura,"5,745","1,43",PH07,Salsas Castillo,Rotometrics,5/3/2013
,,90,M-830-028,,"14,0",*,"140,0",164,3,"3,2",9,2,Figura,"15,908","2,61",WI04,Tanteo Spirits México,Rotometrics,15/7/2015
,,90,M-830-134,,"14,0",*,"140,0",164,3,"3,2",9,2,Figura,"15,908","2,61",PH10,Tanteo Spirits México,Rotometrics,21/4/2022
,613,48,830-633,F-177,"14,5",*,"18,0",106,"1,05","2,5",6,8,Figura,"3,417","0,36",,Ovalo con Cortes de Seguridad,AW,19/10/2004
,380,44,830-389,E-80,"15,0",*,"15,0",114,2,"2,5",6,8,Figura,"2,917","0,33",,,,
